_id	data	hora	natureza_acidente	situacao	bairro	endereco	numero	detalhe_endereco_acidente	complemento	endereco_cruzamento	numero_cruzamento	referencia_cruzamento	bairro_cruzamento	tipo	descricao	auto	moto	ciclom	ciclista	pedestre	onibus	caminhao	viatura	outros	vitimas	vitimasfatais
1465	2016-02-25T00:00:00	07:19:00	SEM VÍTIMA	FINALIZADA	ENCRUZILHADA	EST DE BELEM	""	""	E/F A IGREJA DE BELEM	EST DE BELEM	0	E/F A IGREJA DE BELEM	ENCRUZILHADA	COLISÃO	COLISÃO SEM VITIMAS	2									0	
1466	2016-02-25T00:00:00	07:27:00	SEM VÍTIMA	FINALIZADA	BOA VIAGEM	AV BOA VIAGEM	""	""	PROX AO JCPM E/F CHURRASCARIA SAL E BRASA	AV BOA VIAGEM	0	PROX AO JCPM E/F CHURRASCARIA SAL E BRASA	BOA VIAGEM	COLISÃO	COLISÃO SEM VITIMAS	3									0	
1467	2016-02-25T00:00:00	07:54:00	COM VÍTIMA	FINALIZADA	SANTO AMARO	AV VISCONDE DE SUASSUNA	305	""	E/F AO ESCRITORIO DE ADVOCACIA LINS E PINTO	AV VISCONDE DE SUASSUNA	305	E/F AO ESCRITORIO DE ADVOCACIA LINS E PINTO	SANTO AMARO	COLISÃO	COLISÃO COM VITIMA SOCORRIDA PELO SAMU		1				1				1	
1468	2016-02-25T00:00:00	08:18:00	SEM VÍTIMA	CANCELADA	SANTO AMARO	AV NORTE	973	""	NO SEMAFORO Nº397	AV NORTE	973	NO SEMAFORO Nº397	SANTO AMARO	COLISÃO	COL.S/V,SET CD	2									0	
1469	2016-02-25T00:00:00	08:46:00	SEM VÍTIMA	FINALIZADA	SÃO JOSÉ	C SANTA RITA	""	""	PROX AS TORRES GEMEAS E/F AO ARMAZEM 17	C SANTA RITA	0	PROX AS TORRES GEMEAS E/F AO ARMAZEM 17	SÃO JOSÉ	COLISÃO	COLISÃO SEM VITIMAS	1						1			0	
1470	2016-02-25T00:00:00	09:04:00	SEM VÍTIMA	FINALIZADA	CAJUEIRO	AV CIDADE DE MONTEIRO	3376	""	E/F A GALERIA TERRAÇO, NO LADO DIREITO DA VIA.(SEMÁFORO Nº 388)	AV CIDADE DE MONTEIRO	3376	E/F A GALERIA TERRAÇO, NO LADO DIREITO DA VIA.(SEMÁFORO Nº 388)	CAJUEIRO	COLISÃO	SEM VÍTIMAS.	1						1			0	
1471	2016-02-25T00:00:00	09:11:00	COM VÍTIMA	FINALIZADA	BEBERIBE	PRC DA CONVENCAO	""	""	NA PRAÇA DA CONVERÇÃO	PRC DA CONVENCAO	0	NA PRAÇA DA CONVERÇÃO	BEBERIBE	COLISÃO	COL.C/V	1	1								1	
1472	2016-02-25T00:00:00	09:32:00	SEM VÍTIMA	CANCELADA	ILHA DO RETIRO	AV ENGENHEIRO ABDIAS DE CARVALHO	""	""	AO LADO DA BILHETERIA DO SPORT	AV ENGENHEIRO ABDIAS DE CARVALHO	0	AO LADO DA BILHETERIA DO SPORT	ILHA DO RETIRO	COLISÃO	COLISÃO SEM VITIMA	1					1				0	
1473	2016-02-25T00:00:00	10:00:00	SEM VÍTIMA	FINALIZADA	SANTO AMARO	RUA ODORICO MENDES	837	""	E/F AO INSTITUTO DE CRIMINALISTICA	RUA ODORICO MENDES	837	E/F AO INSTITUTO DE CRIMINALISTICA	SANTO AMARO	COLISÃO	COLISÃO SEM VITIMAS										0	
1474	2016-02-25T00:00:00	10:19:00	SEM VÍTIMA	FINALIZADA	BOA VIAGEM	RUA PADRE BERNADINO PESSOA	408	""	EM FRENTE AO EDF/GOD DIGE	RUA PADRE BERNADINO PESSOA	408	EM FRENTE AO EDF/GOD DIGE	BOA VIAGEM	COLISÃO	COL.S/V	2									0	
1475	2016-02-25T00:00:00	10:58:00	SEM VÍTIMA	FINALIZADA	DERBY	PRC DO DERBY	""	""	AO LADO DA PRACA NO FINAL DA RUA DO BANCO BRADESCO	PRC DO DERBY	0	AO LADO DA PRACA NO FINAL DA RUA DO BANCO BRADESCO	DERBY	COLISÃO	COL.S/V	2									0	
1476	2016-02-25T00:00:00	11:21:00	SEM VÍTIMA	EM ATENDIMENTO	ALTO SANTA TERESINHA	AV ANIBAL BENEVOLO	1281	""	HA 100 METROS DA RUA DA FEIRA	AV ANIBAL BENEVOLO	1281	HA 100 METROS DA RUA DA FEIRA	ALTO SANTA TERESINHA	COLISÃO	COLISÃO SEMVITIMAS	1									0	
1477	2016-02-25T00:00:00	12:06:00	SEM VÍTIMA	FINALIZADA	SÃO JOSÉ	AV SUL	""	""	APOS O PONTILHÃO	AV SUL	0	APOS O PONTILHÃO	SÃO JOSÉ	COLISÃO	""	1					1				0	
1478	2016-02-25T00:00:00	15:01:00	COM VÍTIMA	FINALIZADA	CORDEIRO	RUA DR JOAO LACERDA	1814	""	APOS O RESTAURANTE YORK A PRIMEIRA ESQUINA	RUA DR JOAO LACERDA	1814	APOS O RESTAURANTE YORK A PRIMEIRA ESQUINA	CORDEIRO	COLISÃO	MOTO E AUTO	1	1								1	
1479	2016-02-25T00:00:00	12:28:00	SEM VÍTIMA	FINALIZADA	JARDIM SÃO PAULO	RUA PEDRO JOSE VIEIRA	""	""	E/F DO POSTO SHEL E DA IGREJA PRESBITERIANA	RUA PEDRO JOSE VIEIRA	0	E/F DO POSTO SHEL E DA IGREJA PRESBITERIANA	JARDIM SÃO PAULO	COLISÃO	COLISAO DE DOIS AUTOS S/V	2									0	
1480	2016-02-25T00:00:00	13:01:00	SEM VÍTIMA	FINALIZADA	IMBIRIBEIRA	RUA ALVARO AMORIM	207	""	E/F A ESCOLA DE ENFERMAGEM SÃO CAETANO	RUA ALVARO AMORIM	207	E/F A ESCOLA DE ENFERMAGEM SÃO CAETANO	IMBIRIBEIRA	COLISÃO	ENTRE DOIS AUTOS	2									0	
1481	2016-02-25T00:00:00	14:09:00	COM VÍTIMA	FINALIZADA	CAMPO GRANDE	EST DE BELEM	1350	""	AO LADO IGREJA DO BOM PARTO / SENT CIDADE /EMFRENTE AO FRUTAO	EST DE BELEM	1350	AO LADO IGREJA DO BOM PARTO / SENT CIDADE /EMFRENTE AO FRUTAO	CAMPO GRANDE	COLISÃO	MOTO E AUTO	1	1								1	
1482	2016-02-25T00:00:00	14:12:00	SEM VÍTIMA	FINALIZADA	CORDEIRO	RUA MANOEL MOREIRA	74	""	POR TRAS DA EMERGENCIA DO HOSPITAL GETULIO VARGAS	RUA MANOEL MOREIRA	74	POR TRAS DA EMERGENCIA DO HOSPITAL GETULIO VARGAS	CORDEIRO	COLISÃO	COLISAO DE AUTO E MOTO S/V	1	1								0	
1483	2016-02-25T00:00:00	14:35:00	SEM VÍTIMA	FINALIZADA	SANTO AMARO	RUA TREZE DE MAIO	""	""	NA RUA DO CEMITERIO E/F DA PRAÇA	RUA TREZE DE MAIO	0	NA RUA DO CEMITERIO E/F DA PRAÇA	SANTO AMARO	COLISÃO	COLISAO DE AUTO E MOTO S/V	1	1								0	
1484	2016-02-25T00:00:00	15:00:00	COM VÍTIMA	FINALIZADA	LINHA DO TIRO	RUA URIEL DE HOLANDA	1472	""	E/F AO ARMAZEM OLIVEIRA	RUA URIEL DE HOLANDA	1472	E/F AO ARMAZEM OLIVEIRA	LINHA DO TIRO	COLISÃO	01MOTO 01 CINQUENTINHA		1	1							1	
1485	2016-02-25T00:00:00	15:00:00	COM VÍTIMA	FINALIZADA	BOA VIAGEM	AV CONSELHEIRO AGUIAR	""	""	EM FRENTE AO BANCO SANTANDER	AV CONSELHEIRO AGUIAR	0	EM FRENTE AO BANCO SANTANDER	BOA VIAGEM	COLISÃO	ENTRE UM AUTO E UMA MOTO	1	1								1	
1486	2016-02-25T00:00:00	15:32:00	COM VÍTIMA	FINALIZADA	AFOGADOS	RUA FIRMINO DE FIGUEIREDO	""	""	ESQUINA COM A DEFESORIA PULBLICA	RUA FIRMINO DE FIGUEIREDO	0	ESQUINA COM A DEFESORIA PULBLICA	AFOGADOS	COLISÃO	ENTRE UM AUTO E UMA MOTO	1	1								1	
1487	2016-02-25T00:00:00	15:27:00	SEM VÍTIMA	FINALIZADA	AFOGADOS	RUA SAO MIGUEL	""	""	PROX DO 14 BATALHAO LOGISTICO E DA IGREJA DA SÉ	RUA SAO MIGUEL	0	PROX DO 14 BATALHAO LOGISTICO E DA IGREJA DA SÉ	AFOGADOS	COLISÃO	COLISAO DE MOTO E AUTO S/V	1	1								0	
1488	2016-02-25T00:00:00	16:06:00	COM VÍTIMA	CANCELADA	MADALENA	RUA REAL DA TORRE	954	""	SAIDA DO ATACADO DOS PRESENTES	RUA REAL DA TORRE	954	SAIDA DO ATACADO DOS PRESENTES	MADALENA	COLISÃO	ENTRE UM AUTO E UMA MOTO	1	1								1	
1489	2016-02-25T00:00:00	16:06:00	SEM VÍTIMA	FINALIZADA	CAMPO GRANDE	RUA OLIVEIRA FONSECA	509	""	PROX DO COLEGIO MUNICIPAL MARIO MELO	RUA OLIVEIRA FONSECA	509	PROX DO COLEGIO MUNICIPAL MARIO MELO	CAMPO GRANDE	COLISÃO	COLISAO DE DOIS AUTO S/V	2									0	
1490	2016-02-25T00:00:00	17:06:00	SEM VÍTIMA	FINALIZADA	BAIRRO DO RECIFE	AV ENGENHEIRO JOSE ESTELITA	""	""	SENTIDO MARCO ZERO NO CAIS JOSÉ ESTELITA	AV ENGENHEIRO JOSE ESTELITA	0	SENTIDO MARCO ZERO NO CAIS JOSÉ ESTELITA	BAIRRO DO RECIFE	CHOQUE	AUTO E POSTE	1									0	
1491	2016-02-25T00:00:00	18:29:00	SEM VÍTIMA	FINALIZADA	BOA VIAGEM	RUA VISCONDE DE JEQUITINHONHA	""	""	EM FRENTE AO CLUBE DA MOTO	RUA VISCONDE DE JEQUITINHONHA	0	EM FRENTE AO CLUBE DA MOTO	BOA VIAGEM	COLISÃO	COLISÃO ENTRE AUTO E ONIBUS S/V	1					1				0	
1492	2016-02-25T00:00:00	19:12:00	SEM VÍTIMA	FINALIZADA	BOA VISTA	RUA DA SANTA CRUZ	""	""	AO LADO DA IGREJA SANTA CRUZ	RUA DA SANTA CRUZ	0	AO LADO DA IGREJA SANTA CRUZ	BOA VISTA	COLISÃO	COLISAO ENTRE AUTOS	2									0	
1493	2016-02-25T00:00:00	19:20:00	SEM VÍTIMA	FINALIZADA	AFOGADOS	RUA COSME VIANA	""	""	SEMAFARO 334	RUA COSME VIANA	0	SEMAFARO 334	AFOGADOS	COLISÃO	COLISAO ENTRE AUTOS	2									0	
1494	2016-02-25T00:00:00	19:21:00	COM VÍTIMA	CANCELADA	MADALENA	RUA BENFICA	""	""	NO CRUZAMENTO DA BENFICA	RUA BENFICA	0	NO CRUZAMENTO DA BENFICA	MADALENA	COLISÃO	AUTO E BICICLETA		1								1	
1495	2016-02-25T00:00:00	19:48:00	SEM VÍTIMA	CANCELADA	ESPINHEIRO	RUA CONS PORTELA	""	""	NA ESQUINA DA PAGUE MENOS, SEMAFORO 011	RUA CONS PORTELA	0	NA ESQUINA DA PAGUE MENOS, SEMAFORO 011	ESPINHEIRO	COLISÃO	COLISÃO ENTRE DOIS AUTO S/V	2									0	
1496	2016-02-25T00:00:00	19:57:00	SEM VÍTIMA	FINALIZADA	MADALENA	RUA BENFICA	352	""	EM FRENTE A FALCUDADE FAMA	RUA BENFICA	352	EM FRENTE A FALCUDADE FAMA	MADALENA	COLISÃO	COLISÃO ENTRE DOIS E AUTO S/V	2									0	
1497	2016-02-25T00:00:00	21:15:00	SEM VÍTIMA	FINALIZADA	MADALENA	RUA ARLINDO GOUVEIA	""	""	NA FRENTE DO INTERNACIONAL	RUA ARLINDO GOUVEIA	0	NA FRENTE DO INTERNACIONAL	MADALENA	COLISÃO	COLISÃO ENTRE DOIS AUTO S/V	2									0	
1498	2016-02-25T00:00:00	21:38:00	SEM VÍTIMA	FINALIZADA	MADALENA	RUA BENFICA	""	""	EM FRENTE AO INTERNACIONAL	RUA BENFICA	0	EM FRENTE AO INTERNACIONAL	MADALENA	COLISÃO	DOIS AUTOS	2									0	
1499	2016-02-25T00:00:00	21:57:00	SEM VÍTIMA	CANCELADA	SANTO AMARO	RUA BARROS BARRETO	124	""	NA ESQUINA DO GRUPO JOSE MARIA, CRUZAMENTO COM RUA TREZE DE MAIO	RUA BARROS BARRETO	124	NA ESQUINA DO GRUPO JOSE MARIA, CRUZAMENTO COM RUA TREZE DE MAIO	SANTO AMARO	COLISÃO	COLISÃO ENTRE DOIS AUTO S/V	2									0	
1500	2016-02-25T00:00:00	23:01:00	SEM VÍTIMA	FINALIZADA	LINHA DO TIRO	RUA URIEL DE HOLANDA	""	""	PX A PAN DE OURO	RUA URIEL DE HOLANDA	0	PX A PAN DE OURO	LINHA DO TIRO	COLISÃO	COLISAO ENTRE VIATURA DA PM E MOTO	1	1								0	
1501	2016-02-26T00:00:00	01:30:00	VÍTIMA FATAL	FINALIZADA	""	AV AFONSO OLINDENSE	""	""	PRÓXIMO AO COLISEUM	AV AFONSO OLINDENSE	0	PRÓXIMO AO COLISEUM	0	COLISÃO	MOTO CHOCOU -SE COM UMA ÁRVORE ( SEGUNDO INFORMAÇÃO VÍTIMA FATL		1									1
1502	2016-02-26T00:00:00	04:45:00	SEM VÍTIMA	CANCELADA	AFOGADOS	RUA CLAUDINO DOS SANTOS	""	""	EM FRENTE AO BAR CABOCLINHO	RUA CLAUDINO DOS SANTOS	0	EM FRENTE AO BAR CABOCLINHO	AFOGADOS	COLISÃO	COLISAOENTRE UM AUTO E UMA VIATURA, VEICULOS CAIRAM NO CANAL	2									0	
1503	2016-02-26T00:00:00	05:37:00	SEM VÍTIMA	CANCELADA	PRADO	AV ENGENHEIRO ABDIAS DE CARVALHO	""	""	SEMAFORO 058	AV ENGENHEIRO ABDIAS DE CARVALHO	0	SEMAFORO 058	PRADO	COLISÃO	COLISAO ENTRE UM AUTO E MOTO	1	1								0	
1504	2016-02-26T00:00:00	06:47:00	COM VÍTIMA	FINALIZADA	IBURA	RUA JORNALISTA EDSON REGIS	36	""	PROXÍMO AO POSTO BR	RUA JORNALISTA EDSON REGIS	36	PROXÍMO AO POSTO BR	IBURA	COLISÃO	COLISÃO COM VÍTIMA	1	1								1	
1505	2016-02-26T00:00:00	08:07:00	SEM VÍTIMA	CANCELADA	IMBIRIBEIRA	AV MARECHAL MASCARENHAS DE MORAES	""	""	EM BAIXO DO SEMAFORO 310 AO LADO DA UPA	AV MARECHAL MASCARENHAS DE MORAES	0	EM BAIXO DO SEMAFORO 310 AO LADO DA UPA	IMBIRIBEIRA	COLISÃO	COLISÃO SEM VITIMAS	1						1			0	
1506	2016-02-26T00:00:00	08:18:00	COM VÍTIMA	FINALIZADA	AFOGADOS	RUA JOAO IVO DA SILVA	""	""	ENTRE A CONCESSIONARIA FIORI E A TUPAN	RUA JOAO IVO DA SILVA	0	ENTRE A CONCESSIONARIA FIORI E A TUPAN	AFOGADOS	COLISÃO	COLISÃO COM 1 VITIMA A ESPERA DO SAMU	1	1								1	
1507	2016-02-26T00:00:00	08:19:00	SEM VÍTIMA	FINALIZADA	SANTO AMARO	RUA DO HOSPICIO	""	""	E/F AO COLÉGIO SIZENANDO SILVEIRA( SEMÁFORO Nº 171)	RUA DO HOSPICIO	0	E/F AO COLÉGIO SIZENANDO SILVEIRA( SEMÁFORO Nº 171)	SANTO AMARO	COLISÃO	SEM VÍTIMAS.	1					1				0	
1508	2016-02-26T00:00:00	09:22:00	SEM VÍTIMA	FINALIZADA	BONGI	AV GENERAL SAN MARTIN	""	""	EM FRENTE AO CORREIO	AV GENERAL SAN MARTIN	0	EM FRENTE AO CORREIO	BONGI	COLISÃO	COLISÃO SEM VITIMAS	1					1				0	
1509	2016-02-26T00:00:00	09:33:00	SEM VÍTIMA	CANCELADA	IPUTINGA	AV CAXANGA	2864	""	POSTO SHELL AOLADO DO EXTRA,SENT CAMARAGIBE	AV CAXANGA	2864	POSTO SHELL AOLADO DO EXTRA,SENT CAMARAGIBE	IPUTINGA	CHOQUE	CAMINHÃO CHOCOU-SE COMTRA UM POSTO DE GASOLINA							1			0	
1510	2016-02-26T00:00:00	09:38:00	""	CANCELADA	PRADO	AV ENGENHEIRO ABDIAS DE CARVALHO	XXX	""	EM FRENTE AO LABORATÓRIO CERPE	AV ENGENHEIRO ABDIAS DE CARVALHO	XXX	EM FRENTE AO LABORATÓRIO CERPE	PRADO	COLISÃO	COLISÃO COM 1 VITIMA A ESPERA DO SAMU										0	
1511	2016-02-26T00:00:00	09:43:00	COM VÍTIMA	FINALIZADA	PRADO	AV ENGENHEIRO ABDIAS DE CARVALHO	""	""	EM FRENTE A FACULDADE ESTACIO,SENT/CIDADE	AV ENGENHEIRO ABDIAS DE CARVALHO	0	EM FRENTE A FACULDADE ESTACIO,SENT/CIDADE	PRADO	COLISÃO	COLISÃO SEGUIDO DE ATROPELAMENTO DE PEDESTRE	1	1								1	
1512	2016-02-26T00:00:00	10:06:00	""	CANCELADA	SAN MARTIN	AV GENERAL SAN MARTIN	""	""	EM FRENTE AO SEMAFORO 403,SAÍDA DOS CORREIOS	AV GENERAL SAN MARTIN	0	EM FRENTE AO SEMAFORO 403,SAÍDA DOS CORREIOS	SAN MARTIN	COLISÃO	""	1					1				0	
1513	2016-02-26T00:00:00	09:55:00	SEM VÍTIMA	FINALIZADA	SAN MARTIN	AV GENERAL SAN MARTIN	1450	""	EM FRENTE AO COLEGIO DOM BOSCO	AV GENERAL SAN MARTIN	1450	EM FRENTE AO COLEGIO DOM BOSCO	SAN MARTIN	COLISÃO	COLISÃO SEM VITIMAS	2									0	
1514	2016-02-26T00:00:00	10:01:00	SEM VÍTIMA	FINALIZADA	PINA	AV ANTONIO DE GOES	62	""	EM FRENTE AO BARGARÇO,PISTA DA ESQUERDA	AV ANTONIO DE GOES	62	EM FRENTE AO BARGARÇO,PISTA DA ESQUERDA	PINA	COLISÃO	COLISÃO SEM VITIMAS	2									0	
1515	2016-02-26T00:00:00	10:29:00	COM VÍTIMA	FINALIZADA	JORDÃO	RUA DR ALVARO FERRAZ	42	""	PROX AO TERMINAL DE JORDÃO BAIXO	RUA DR ALVARO FERRAZ	42	PROX AO TERMINAL DE JORDÃO BAIXO	JORDÃO	COLISÃO	COLISÃO COM VITIMAS SOCORRIDAS PELO SAMU		1					1			2	
1516	2016-02-26T00:00:00	10:45:00	SEM VÍTIMA	CANCELADA	DERBY	AV GOVERNADOR AGAMENON MAGALHAES	""	""	EM FRENTE A FACE IMAGEM / SENTIDO BOA VIAGEM	AV GOVERNADOR AGAMENON MAGALHAES	0	EM FRENTE A FACE IMAGEM / SENTIDO BOA VIAGEM	DERBY	COLISÃO	COLISÃO SEM VITIMAS	2									0	
1517	2016-02-26T00:00:00	10:53:00	SEM VÍTIMA	FINALIZADA	IBURA	AV PERNAMBUCO	30	""	E/F AO NÚCLEO DA POLICIA, NO LADO DIREITO DA VIA.	AV PERNAMBUCO	30	E/F AO NÚCLEO DA POLICIA, NO LADO DIREITO DA VIA.	IBURA	COLISÃO	SEM VÍTIMAS.	1						1			0	
1518	2016-02-26T00:00:00	11:01:00	SEM VÍTIMA	FINALIZADA	AFOGADOS	EST DOS REMEDIOS	1042	""	EM FRENTE A PADARIA NOVO PÃO	EST DOS REMEDIOS	1042	EM FRENTE A PADARIA NOVO PÃO	AFOGADOS	COLISÃO	COLISÃO SEM VITIMAS	3									0	
1519	2016-02-26T00:00:00	11:03:00	SEM VÍTIMA	FINALIZADA	BOA VISTA	AV CONDE DA BOA VISTA	""	""	AO LADO DO CINEMA SÃ OLUIZ( SEMÁFORO Nº 162)	AV CONDE DA BOA VISTA	0	AO LADO DO CINEMA SÃ OLUIZ( SEMÁFORO Nº 162)	BOA VISTA	COLISÃO	SEM VÍTIMAS.	2									0	
1520	2016-02-26T00:00:00	11:37:00	SEM VÍTIMA	FINALIZADA	PRADO	RUA GOMES TABORDA	1100	""	EM FRENTE A GALERIA MALIBU	RUA GOMES TABORDA	1100	EM FRENTE A GALERIA MALIBU	PRADO	COLISÃO	COLISÃO SEM VITIMAS	3									0	
1521	2016-02-26T00:00:00	12:42:00	SEM VÍTIMA	FINALIZADA	CASA FORTE	RUA PIAUI	151	""	PX AO CENTRO DE SAUDE ANTONIO ARMINIO DE MORAIS	RUA PIAUI	151	PX AO CENTRO DE SAUDE ANTONIO ARMINIO DE MORAIS	CASA FORTE	COLISÃO	COLISAO ENTRE AUTOS	2									0	
1522	2016-02-26T00:00:00	13:25:00	SEM VÍTIMA	FINALIZADA	ENCRUZILHADA	RUA FREDERICO	194	""	E/F AO BOTECO DO JANUÁRIO	RUA FREDERICO	194	E/F AO BOTECO DO JANUÁRIO	ENCRUZILHADA	COLISÃO	02 AUTOS	2									0	
1523	2016-02-26T00:00:00	13:48:00	COM VÍTIMA	FINALIZADA	TORRE	RUA JOSE BONIFACIO	1141	""	AO LADO DO CARREFOUR	RUA JOSE BONIFACIO	1141	AO LADO DO CARREFOUR	TORRE	COLISÃO	COLISAO ENTRE AUTO E MOTO	2	1								1	
1524	2016-02-26T00:00:00	14:03:00	SEM VÍTIMA	FINALIZADA	MACAXEIRA	AV NORTE	7984	""	PX AO SEMAFARO 296	AV NORTE	7984	PX AO SEMAFARO 296	MACAXEIRA	COLISÃO	COLISAO ENTE AUTOS	2									0	
1525	2016-02-26T00:00:00	14:28:00	SEM VÍTIMA	FINALIZADA	ESPINHEIRO	RUA CONS PORTELA	425	""	E/F A CBC	RUA CONS PORTELA	425	E/F A CBC	ESPINHEIRO	COLISÃO	COLISAO ENTRE AUTOS	2									0	
1526	2016-02-26T00:00:00	14:31:00	""	CANCELADA	JORDÃO	RUA DR ALVARO FERRAZ	42	""	PROX AO TERMINAL DE JORDÃO BAIXO	RUA DR ALVARO FERRAZ	42	PROX AO TERMINAL DE JORDÃO BAIXO	JORDÃO	COLISÃO	COLISÃO COM VITIMAS SOCORRIDAS PELO SAMU		1					1				
1527	2016-02-26T00:00:00	14:57:00	SEM VÍTIMA	FINALIZADA	BOA VIAGEM	AV ENGENHEIRO DOMINGOS FERREIRA	3094	""	ATES DA BRUNO VELOSO E/F DO EDF VALENÇA	AV ENGENHEIRO DOMINGOS FERREIRA	3094	ATES DA BRUNO VELOSO E/F DO EDF VALENÇA	BOA VIAGEM	COLISÃO	COLISAO DE ONIBUS E AUTOS S/V	1					1				0	
1528	2016-02-26T00:00:00	15:08:00	COM VÍTIMA	FINALIZADA	AREIAS	AV RECIFE	""	""	50 METROS APOS O MAKRO	AV RECIFE	0	50 METROS APOS O MAKRO	AREIAS	COLISÃO	COLISAO ENTRE DUAS MOTOS COM VITIMA		2								1	
1529	2016-02-26T00:00:00	15:10:00	SEM VÍTIMA	FINALIZADA	IMBIRIBEIRA	AV MARECHAL MASCARENHAS DE MORAES	""	""	E/F A LOMBADA ELETRONICA, SENTIDO PRAZERES, E/F A PASSARELA	AV MARECHAL MASCARENHAS DE MORAES	0	E/F A LOMBADA ELETRONICA, SENTIDO PRAZERES, E/F A PASSARELA	IMBIRIBEIRA	COLISÃO	02 AUTOS	2									0	
1530	2016-02-26T00:00:00	16:43:00	SEM VÍTIMA	CANCELADA	BOA VIAGEM	AVENIDA CELSO FURTADO (VIA MANGUE)	""	""	FINAL DA VIA MANGUE, SENTIDO PIEDADE, ENTRADA DO COLÉGIO GGE	AVENIDA CELSO FURTADO (VIA MANGUE)	0	FINAL DA VIA MANGUE, SENTIDO PIEDADE, ENTRADA DO COLÉGIO GGE	BOA VIAGEM	COLISÃO	02 AUTOS	2									0	
1531	2016-02-26T00:00:00	17:19:00	SEM VÍTIMA	FINALIZADA	IMBIRIBEIRA	AV MARECHAL MASCARENHAS DE MORAES	""	""	DENTO DO POSTO SHEL PX A UNIBRATEC - SENTIDO JABOATAO	AV MARECHAL MASCARENHAS DE MORAES	0	DENTO DO POSTO SHEL PX A UNIBRATEC - SENTIDO JABOATAO	IMBIRIBEIRA	COLISÃO	COLISÃO ENTRE AUTOS	2									0	
1532	2016-02-26T00:00:00	17:20:00	COM VÍTIMA	CANCELADA	ENCRUZILHADA	RUA BELA VISTA	""	""	REI DA PICANHA, ESQUINA COM A PADARIA BELA VISTA	RUA BELA VISTA	0	REI DA PICANHA, ESQUINA COM A PADARIA BELA VISTA	ENCRUZILHADA	COLISÃO	01 AUTO 01 MOTO	1	1								1	
1533	2016-02-26T00:00:00	17:28:00	SEM VÍTIMA	FINALIZADA	CAMPO GRANDE	EST DE BELEM	328	""	APÓS A IGREJA DE BELÉM, E/F A PADARIA MAMÃE ONE	EST DE BELEM	328	APÓS A IGREJA DE BELÉM, E/F A PADARIA MAMÃE ONE	CAMPO GRANDE	COLISÃO	01 AUTO 01 CINQUENTINHA	1		1							0	
1534	2016-02-26T00:00:00	17:54:00	SEM VÍTIMA	CANCELADA	IBURA	RUA EXP FRANCISCO VITORIANO	""	""	AO LADO DO SUPERMERCADO TREVO	RUA EXP FRANCISCO VITORIANO	0	AO LADO DO SUPERMERCADO TREVO	IBURA	COLISÃO	02 ONIBUS						2				0	
1535	2016-02-26T00:00:00	18:49:00	COM VÍTIMA	FINALIZADA	CASA FORTE	AV DEZESSETE DE AGOSTO	""	""	EM FRENTE AO COLEGIO SILVA JARDIM, SEMAFORO 370	AV DEZESSETE DE AGOSTO	0	EM FRENTE AO COLEGIO SILVA JARDIM, SEMAFORO 370	CASA FORTE	COLISÃO	COLISÃO ENTRE AUTO E MOTO, S/V	1	1								1	
1536	2016-02-26T00:00:00	19:50:00	COM VÍTIMA	FINALIZADA	VASCO DA GAMA	RUA VASCO DA GAMA	935	""	ANTES DA DELEGACIA DO VASCO DA GAMA	RUA VASCO DA GAMA	935	ANTES DA DELEGACIA DO VASCO DA GAMA	VASCO DA GAMA	COLISÃO	ANTES DA DELEGACIA DO VASCO DA GAMA	1	1								1	
1537	2016-02-26T00:00:00	20:01:00	SEM VÍTIMA	FINALIZADA	ALTO DO MANDU	RUA IMBIRIBA	1044	""	EM FRENTE A PRACINHA SITIO GRANDE, ESQUINA COM AV NORTE	RUA IMBIRIBA	1044	EM FRENTE A PRACINHA SITIO GRANDE, ESQUINA COM AV NORTE	ALTO DO MANDU	COLISÃO	COLISÃO ENTRE DOIS AUTO S/V	2									0	
1538	2016-02-26T00:00:00	20:03:00	SEM VÍTIMA	FINALIZADA	BOA VIAGEM	AV VINTE DE JANEIRO	518	""	PROX. A ACADEMIA DO GOL	AV VINTE DE JANEIRO	518	PROX. A ACADEMIA DO GOL	BOA VIAGEM	COLISÃO	AUTO E ONIBUS	1					1				0	
1539	2016-02-26T00:00:00	23:27:00	SEM VÍTIMA	FINALIZADA	PINA	AV ENGENHEIRO DOMINGOS FERREIRA	""	""	PROX DA ESCOLA MUNICIPAL OSWALDO LIMA FILHO, SENTIDO BOA VIAGEM PIEDADE	AV ENGENHEIRO DOMINGOS FERREIRA	0	PROX DA ESCOLA MUNICIPAL OSWALDO LIMA FILHO, SENTIDO BOA VIAGEM PIEDADE	PINA	COLISÃO	COLISAO ENTRE DOIS AUTOS	2									0	
1540	2016-02-26T00:00:00	23:59:00	COM VÍTIMA	FINALIZADA	CASA AMARELA	EST DO ARRAIAL	""	""	EM FRENTE SITIO DA TRINDADE	EST DO ARRAIAL	0	EM FRENTE SITIO DA TRINDADE	CASA AMARELA	COLISÃO	COLISAO ENTRE DOIS AUTOS	2									2	
1541	2016-02-27T00:00:00	00:03:00	SEM VÍTIMA	FINALIZADA	AREIAS	AV RECIFE	""	""	PROX DO BOMPREÇO, EM FRENTE A PAGUE MENOS	AV RECIFE	0	PROX DO BOMPREÇO, EM FRENTE A PAGUE MENOS	AREIAS	COLISÃO	COLISAO ENTRE AUTO E CAMINHAO	1						1			0	
